feature,Compound.ID,Name,weight
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",Amide-Pos-002176,"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",-0.10647588223218918
Pe(26:4_19:6cooh),C8-Pos-005302,Pe(26:4_19:6cooh),-0.1061515361070633
"L-Threonic Acid-1,4-Lactone",Amide-Neg-000220,"L-Threonic Acid-1,4-Lactone",-0.10600223392248154
L-Glutathione Oxidized,C8-Pos-000542,L-Glutathione Oxidized,-0.10596614331007004
Oahfa(15:1_27:4),C8-Neg-002972,Oahfa(15:1_27:4),0.10575637966394424
5'-S-Methyl-5'-Thioadenosine,C8-Pos-000483,5'-S-Methyl-5'-Thioadenosine,-0.105619914829731
D-Phenylalanine,Amide-Pos-000583,D-Phenylalanine,0.105156309902668
Myristic Acid,C8-Neg-000086,Myristic Acid,-0.10477060079574584
gamma--Aminobutyric Acid,Amide-Neg-000114,Γ-Aminobutyric Acid,0.10404425114393234
Myristoyl-L-Carnitine,C18-Pos-002570,Myristoyl-L-Carnitine,0.1039602905511856
3-Hydroxybutyric Acid,Amide-Neg-000118,3-Hydroxybutyric Acid,-0.1036931499838829
Pe 16:0_18:1,C8-Pos-003759,Pe 16:0_18:1,0.10350041836500168
Pe(20:5_22:2),C8-Pos-004871,Pe(20:5_22:2),-0.10319124162197112
1-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine,C18-Pos-003970,1-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine,-0.10228095948696136
1-Linoleoyl Glycerol,C8-Pos-000787,1-Linoleoyl Glycerol,-0.10208283364772797
L-Ascorbic Acid,Amide-Neg-000729,L-Ascorbic Acid,-0.1017364263534546
Pc(14:1_25:7),C8-Pos-004855,Pc(14:1_25:7),0.10172993689775468
Dg(25:3_25:7),C8-Pos-004529,Dg(25:3_25:7),0.10062860697507858
4-Piperidinecarboxamide,Amide-Pos-000314,4-Piperidinecarboxamide,-0.1002603843808174
D-Glucose,Amide-Neg-001099,D-Glucose,-0.09979478269815444
Dl-Dipalmitoylphosphatidylcholine,C8-Pos-003901,Dl-Dipalmitoylphosphatidylcholine,0.0997232124209404
N2-Methylguanosine,C18-Pos-001733,N2-Methylguanosine,-0.0991618037223816
Docosanamide,C8-Pos-000820,Docosanamide,0.09756430983543396
L-Glutamic Acid,Amide-Pos-000319,L-Glutamic Acid,-0.09720749408006668
Citraconic Acid,Amide-Neg-000307,Citraconic Acid,-0.09698235988616943
Pe(21:0_21:5),C8-Pos-004916,Pe(21:0_21:5),-0.09630490839481354
Dg(2:0_18:2),C8-Pos-001468,Dg(2:0_18:2),-0.09626253694295885
2-Deoxyribose 5-Phosphate,Amide-Neg-001061,2-Deoxyribose 5-Phosphate,0.09597741067409515
Pi(O-16:2_18:3),C8-Pos-004803,Pi(O-16:2_18:3),-0.09563816338777542
Acetyl-D-Alanine,Amide-Neg-000316,Acetyl-D-Alanine,0.09558775275945663
L-Valine,Amide-Neg-000214,L-Valine,-0.09501847624778748
Oleoyl Ethanolamide,C8-Pos-000689,Oleoyl Ethanolamide,-0.0944911316037178
Xanthine,Amide-Neg-000523,Xanthine,-0.09445488452911376
"8z,11z,14z-Eicosatrienoic Acid",C8-Neg-000432,"8z,11z,14z-Eicosatrienoic Acid",-0.0944451242685318
S-4-(2-Oxo-Butyl)Glutathione,C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,0.09432891756296158
"Ne,Ne,Ne-Trimethyllysine",Amide-Pos-000682,"Ne,Ne,Ne-Trimethyllysine",-0.09327498078346252
Pg(20:3_20:4),C8-Neg-003343,Pg(20:3_20:4),-0.0931718498468399
Adenylyl(3'-5')Cytidine,C18-Pos-001644,Adenylyl(3'-5')Cytidine,-0.0926314890384674
Methyl Dihydrogen Phosphate,C18-Neg-000020,Methyl Dihydrogen Phosphate,-0.09252434968948364
2-Oxoadipic Acid,Amide-Neg-000587,2-Oxoadipic Acid,-0.09249019622802734
upsilon--L-Glutamyl-L-Glutamic Acid,Amide-Pos-001105,Υ-L-Glutamyl-L-Glutamic Acid,0.09212520718574524
D-Lysine,Amide-Pos-000316,D-Lysine,0.09200811386108398
Pe(19:1cooh_24:4),C8-Neg-003487,Pe(19:1cooh_24:4),-0.09037531912326811
Ophthalmate,Amide-Pos-001163,Ophthalmate,-0.09017672389745712
Pc(9:0cho_26:1),C8-Pos-004612,Pc(9:0cho_26:1),0.08968408405780792
Lithocholic Acid,C8-Neg-000679,Lithocholic Acid,-0.089617058634758
Lpc(20:1),C8-Neg-002450,Lpc(20:1),-0.08850286155939102
L-Ergothioneine,Amide-Pos-000860,L-Ergothioneine,0.08814892917871475
Rjipnphmqgdubw-Lrankocbsa-N,C8-Pos-000500,Rjipnphmqgdubw-Lrankocbsa-N,-0.08758111298084259
Palmitoleic Acid,C8-Pos-000148,Palmitoleic Acid,0.08719129115343094
3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One,C8-Pos-000955,3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One,0.08690115064382553
5'-Xanthylic Acid,Amide-Neg-001943,5'-Xanthylic Acid,-0.08688704669475555
Bismepa(18:0_19:1),C8-Pos-003992,Bismepa(18:0_19:1),0.08665747195482254
Ps(15:0_25:3),C8-Neg-003418,Ps(15:0_25:3),0.08562921732664108
D-Mannitol 1-Phosphate,Amide-Neg-001445,D-Mannitol 1-Phosphate,0.08547717332839966
Pc(18:3cho_26:8),C8-Neg-003730,Pc(18:3cho_26:8),-0.08525575697422028
Propionylcarnitine,C18-Pos-001104,Propionylcarnitine,0.08525490760803223
Pc(16:1cooh_23:3),C8-Pos-004801,Pc(16:1cooh_23:3),0.08513133972883224
2'-Deoxyadenosine,Amide-Pos-000996,2'-Deoxyadenosine,-0.08505509048700333
Cl(12:0cooh_22:0_24:1_21:2),C8-Neg-003274,Cl(12:0cooh_22:0_24:1_21:2),-0.08483143895864487
Udp-N-Acetylglucosamine,Amide-Neg-001697,Udp-N-Acetylglucosamine,0.08446148037910461
Sarcosine,Amide-Pos-000068,Sarcosine,0.08409589529037476
Pi(17:3_25:6),C8-Neg-003687,Pi(17:3_25:6),0.08390781283378601
(Rac)-Idroxioleic Acid,C8-Neg-000383,(Rac)-Idroxioleic Acid,-0.08296669274568558
5'-Cytidylic Acid,C18-Pos-002009,5'-Cytidylic Acid,0.08189097046852112
Gly-Met-Arg,C8-Pos-001359,Gly-Met-Arg,-0.0812951922416687
L-Hydroxyproline,Amide-Pos-000349,L-Hydroxyproline,0.08095809817314148
Pc 16:0_16:1,C8-Pos-003874,Pc 16:0_16:1,0.08083172142505646
4-Quinolinol,Amide-Pos-000461,4-Quinolinol,0.08082513511180878
Lpe 38:6,C8-Pos-004035,Lpe 38:6,0.08037020266056061
Ps(17:1_29:3),C8-Neg-003657,Ps(17:1_29:3),-0.07931429892778397
4-Cholestenone,C8-Pos-001064,4-Cholestenone,-0.07880339026451111
Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,Amide-Neg-002218,Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,-0.07852916419506073
Lhnfrfaovvpesm-Crgcijnfna-N,Amide-Pos-001042,Lhnfrfaovvpesm-Crgcijnfna-N,0.07811027020215988
Succinic Acid,Amide-Neg-000221,Succinic Acid,-0.07793328911066055
Pc(16:0_22:6),C8-Pos-004775,Pc(16:0_22:6),-0.07774217426776886
(R)-Pantetheine,C18-Pos-001415,(R)-Pantetheine,-0.07743633538484573
Isobutyric Acid,Amide-Neg-000078,Isobutyric Acid,-0.07730695605278015
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,Amide-Pos-002276,2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.07721659541130066
Uridine 5'-Diphosphate,Amide-Pos-001617,Uridine 5'-Diphosphate,0.0770939290523529
L-Pipecolinic Acid,Amide-Pos-000331,L-Pipecolinic Acid,-0.07709071785211563
Trans-3-Indoleacrylic Acid,Amide-Pos-000658,Trans-3-Indoleacrylic Acid,0.07689365744590759
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,Amide-Pos-002283,2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,-0.07665175944566727
Acetylcholine,Amide-Pos-000467,Acetylcholine,0.07630675286054611
Pg(20:4_24:8),C8-Neg-003491,Pg(20:4_24:8),-0.07580660283565521
Choline,Amide-Pos-000097,Choline,0.07524093985557556
Phloretic Acid,C18-Pos-000567,Phloretic Acid,0.07524020224809647
2-Methylsuccinic Acid,Amide-Neg-000333,2-Methylsuccinic Acid,-0.07501561939716339
L-Lysine,Amide-Neg-000484,L-Lysine,-0.07420600205659866
Pc(20:2_21:4),C8-Neg-003571,Pc(20:2_21:4),0.07372605800628662
Pro-Asp,Amide-Pos-000866,Pro-Asp,-0.07349507510662079
Dl-Glutamine,Amide-Pos-000475,Dl-Glutamine,-0.07333539426326752
Inosine-5'-Monophosphate (Imp),C18-Pos-002294,Inosine-5'-Monophosphate (Imp),0.07285922765731812
"16-Hydroxycleroda-3,13-Dien-15,16-Olide",C8-Pos-000642,"16-Hydroxycleroda-3,13-Dien-15,16-Olide",-0.07259524613618851
Lpe 34:1,C8-Pos-003647,Lpe 34:1,0.07238568365573883
S-Adenosyl-L-Homocysteine,C18-Pos-000925,S-Adenosyl-L-Homocysteine,-0.07191406190395355
Ps(16:1_26:4),C8-Neg-003489,Ps(16:1_26:4),0.07127077132463455
Spongouridin,Amide-Neg-001329,Spongouridin,-0.07125675678253174
N6-Succinyladenosine; Lc-Tdda; Ce10,C18-Pos-002703,N6-Succinyladenosine; Lc-Tdda; Ce10,0.07121802121400833
5-Methylcytosine,Amide-Pos-000296,5-Methylcytosine,0.07111668586730957
