pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source
Organic cation/anion/zwitterion transport (Reactome),0.4803543913713405,0.9449040499000209,0.02503180688733822,0.4402578343004709,0.981922704277302,7,L-(+)-Lactic Acid,GW (limma t-statistic),Reactome
Metabolic reprogramming in pancreatic cancer (WikiPathways),0.49948035751403036,0.9449040499000209,0.025655567415055102,-0.42070330989715277,-0.9576169032181553,7,"N-Acetyl-D-Glucosamine 6-Phosphate;Dl-Lactic Acid;D-Ribose 5-Phosphate;Udp-N-Acetylglucosamine;D-Fructose 1,6-Bisphosphate;Pyruvic Acid",GW (limma t-statistic),WikiPathways
Glyoxylate metabolism and glycine degradation (Reactome),0.5001911314984709,0.9449040499000209,0.02423534200657191,0.414513742297893,0.9648346903905202,8,Glycolic Acid;Sarcosine;Dl-Alanine,GW (limma t-statistic),Reactome
Glycolysis in senescence (WikiPathways),0.5010434056761269,0.9449040499000209,0.025669630587903003,-0.4836921484128648,-0.9790994976837354,5,"D,L-Serine",GW (limma t-statistic),WikiPathways
Biogenic amine synthesis (WikiPathways),0.502000421141293,0.9449040499000209,0.025789806128850585,-0.38841158049078217,-0.9610206446908283,9,Γ-Aminobutyric Acid;Choline,GW (limma t-statistic),WikiPathways
Urea cycle and associated pathways (WikiPathways),0.5036496350364964,0.9449040499000209,0.023779672483264055,0.3621499503797374,0.9639288843269049,13,L-(+)-Lactic Acid;L-Glutamine;Uracil,GW (limma t-statistic),WikiPathways
Glutathione metabolism (WikiPathways),0.5181047765793528,0.9449040499000209,0.02378571967078691,0.4270196464951007,0.9523971032389154,7,L-Pyroglutamic Acid;Cytidine 2'_3'-Cyclic Phosphate,GW (limma t-statistic),WikiPathways
Variant SLC6A14 may confer susceptibility towards obesity (Reactome),0.5246041934103551,0.9449040499000209,0.025315845807360526,-0.3498961214770627,-0.9447781703840621,12,"D,L-Serine;L-(-)-Methionine",GW (limma t-statistic),Reactome
Sensory perception of taste (Reactome),0.5248470948012233,0.9449040499000209,0.023451555985998077,0.40633620735504983,0.9458004133820016,8,Inosine-5'-Monophosphate (Imp);Guanosine-5'-Monophosphate;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,GW (limma t-statistic),Reactome
Glycolysis and gluconeogenesis (WikiPathways),0.5364553588425661,0.9449040499000209,0.02303481080854086,0.3891731586965336,0.9365885381541864,9,"L-(+)-Lactic Acid;D-Fructose-1,6-Bisphosphate;D-(+)-Glucose",GW (limma t-statistic),WikiPathways
Sialic acid metabolism (Reactome),0.5405665831566776,0.9449040499000209,0.023109020290240683,0.44716943668846165,0.9487054811353433,6,Cytidine 5'-Triphosphate;5'-Cytidylic Acid;Adenosine 5'-Diphosphate,GW (limma t-statistic),Reactome
Pyrimidine biosynthesis (Reactome),0.5457510070976405,0.9449040499000209,0.02288209981401607,0.4687198002463906,0.9421678052217498,5,L-Glutamine;Adenosine 5'-Diphosphate;L-Glutamic Acid,GW (limma t-statistic),Reactome
Pyrimidine catabolism (Reactome),0.5553017323434228,0.9449040499000209,0.02248391655464825,0.38407891340913175,0.9243286696609252,9,Uracil;Dl-Alanine;5'-Cytidylic Acid;Adenosine 5'-Diphosphate;Uridine,GW (limma t-statistic),Reactome
Propanoate metabolism (KEGG),0.5640586331620027,0.9449040499000209,0.02223612622874777,0.3815587532354933,0.9182636236005853,9,2-Oxobutanoic Acid;Acrylic Acid;L-Valine,GW (limma t-statistic),KEGG
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),0.5647205485144401,0.9449040499000209,0.023617507240153032,-0.4216749559859239,-0.9118444123879506,6,Adenosine Triphosphate (Atp);Dl-Lactic Acid;Citric Acid;L-Malic Acid,GW (limma t-statistic),WikiPathways
TCA cycle (aka Krebs or citric acid cycle) (WikiPathways),0.5651631677405945,0.9449040499000209,0.023611541820896337,-0.397805294066825,-0.9054957848589028,7,Adenosine Triphosphate (Atp);Guanosine-5'-Triphosphate;Citric Acid;L-Malic Acid,GW (limma t-statistic),WikiPathways
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.5663243474540008,0.9449040499000209,0.024048585781104484,-0.34039302854855435,-0.9191182267639827,12,"D,L-Serine;L-(-)-Methionine",GW (limma t-statistic),Reactome
Sphingolipid metabolism: integrated pathway (WikiPathways),0.5674852465257948,0.9449040499000209,0.02214051262653225,0.3805146369332515,0.915750841464081,9,O-Phosphocolamine;D-Sphingosine;Palmitoyl Sphingomyelin,GW (limma t-statistic),WikiPathways
Synthesis of Leukotrienes (LT) and Eoxins (EX) (Reactome),0.5689622098599655,0.9449040499000209,0.022220138710215737,0.4588172995620172,0.9222629125095184,5,Arachidonic Acid;Adenosine 5'-Diphosphate;L-Glutamic Acid;L-Glutathione (Reduced),GW (limma t-statistic),Reactome
Omega-3 / omega-6 fatty acid synthesis (WikiPathways),0.5715769790151672,0.9449040499000209,0.02342215535649305,-0.4195861359112765,-0.9073274760925577,6,"All-Cis-4,7,10,13,16-Docosapentaenoic Acid",GW (limma t-statistic),WikiPathways
