Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction
1-Oleoyl-sn-glycero-3-phosphoethanolamine,C8-Pos-000109,85,0.47048642205878966,21.524636881103877,21.316243945509086,-0.014035651007446933,0.962267616477685,1,FALSE,FALSE,Higher in Females
"1,2-Dilinoleoyl-sn-glycero-3-phosphoethanolamine",C8-Pos-000110,81,0.37217143978212575,17.282654635666017,16.744815809873675,-0.045610327410932405,0.962267616477685,1,FALSE,FALSE,Higher in Females
PE O-18:2_20:4,C8-Pos-000111,70,0.9309874465595671,16.758800609902053,16.89321900624468,0.011525357906134953,1,1,FALSE,FALSE,Higher in Males
Progesterone,C8-Pos-000112,10,0.25562310754641265,16.960814931785364,17.47800257206693,0.0433348295649931,0.962267616477685,1,FALSE,FALSE,Higher in Males
PE 16:0_24:5,C8-Pos-000116,44,0.7558134230866009,21.543323107514116,21.00372349236921,-0.03659569783841017,0.9935974213610372,1,FALSE,FALSE,Higher in Females
PE O-28:4_13:1,C8-Pos-000118,64,0.549471691823942,17.74907048007258,17.678132213764073,-0.005777617989029552,0.962267616477685,1,FALSE,FALSE,Higher in Females
PE 20:2_20:2,C8-Pos-000121,93,0.2365840933218762,26.69762507722031,26.616499144775,-0.004390584013812757,0.962267616477685,1,FALSE,FALSE,Higher in Females
Palmitoyl sphingomyelin,C8-Pos-000123,53,0.8197075378297883,20.837934370215148,20.727783348820488,-0.007646431388254987,0.9968772717540041,1,FALSE,FALSE,Higher in Females
Methasterone,C8-Pos-000124,83,0.5443701458566099,23.880717997102813,23.8004459261234,-0.0048576091103618565,0.962267616477685,1,FALSE,FALSE,Higher in Females
1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,C8-Pos-000127,50,0.21449380778351745,22.457941041678517,22.537306636942745,0.0050894472353324996,0.962267616477685,1,FALSE,FALSE,Higher in Males
LPC 20:4-SN2,C8-Pos-000128,67,0.7950121719642382,29.60959715016511,29.599845806781317,-4.7520173021143935e-4,0.9968772717540041,1,FALSE,FALSE,Higher in Females
PC 14:0_14:1,C8-Pos-000130,69,0.8852339144732017,22.734047901746944,22.67844216643509,-0.0035330438190607047,1,1,FALSE,FALSE,Higher in Females
1-Hexadecanoyl-2-(14-pentadecenoyl)-sn-glycero-3-phosphocholine,C8-Pos-000133,58,0.13332021558962748,16.77614084313183,16.530605631724235,-0.021271297051542116,0.962267616477685,1,FALSE,FALSE,Higher in Females
PE O-28:2_7:0,C8-Pos-000134,91,0.28547630885188235,18.706267971352098,18.54237431343508,-0.012695769773004344,0.962267616477685,1,FALSE,FALSE,Higher in Females
PE O-17:0_18:1,C8-Pos-000135,54,0.4790843272053482,19.54348275668273,19.610178519942096,0.004915082617257773,0.962267616477685,1,FALSE,FALSE,Higher in Males
PE O-18:2_22:6,C8-Pos-000136,86,0.4357306600317366,26.59855375104706,26.500288310743215,-0.005339748278969401,0.962267616477685,1,FALSE,FALSE,Higher in Females
LPE 22:5,C8-Pos-000139,80,0.6650055421020291,22.51478588812541,22.260339172879608,-0.01639718327561988,0.976056521472333,1,FALSE,FALSE,Higher in Females
LPE O-16:1,C8-Pos-000141,87,0.40250382378200356,27.579316636543027,27.29610566187527,-0.014891573651478598,0.962267616477685,1,FALSE,FALSE,Higher in Females
PC 16:2_16:2,C8-Pos-000143,61,0.5443701458566099,26.562004614009386,26.659710212912977,0.0052970687554806245,0.962267616477685,1,FALSE,FALSE,Higher in Males
