Name,pathway_id,pathway_label,pathway_source
2-Oxoglutaric Acid,R-HSA-70263,Gluconeogenesis,reactome
2-Oxoglutaric Acid,R-HSA-70326,Glucose metabolism,reactome
2-Oxoglutaric Acid,R-HSA-70895,Branched-chain amino acid catabolism,reactome
2-Oxoglutaric Acid,R-HSA-71064,Lysine catabolism,reactome
2-Oxoglutaric Acid,R-HSA-71240,Tryptophan catabolism,reactome
2-Oxoglutaric Acid,R-HSA-71262,Carnitine synthesis,reactome
2-Oxoglutaric Acid,R-HSA-71403,Citric acid cycle (TCA cycle),reactome
2-Oxoglutaric Acid,R-HSA-71406,Pyruvate metabolism and Citric Acid (TCA) cycle,reactome
2-Oxoglutaric Acid,R-HSA-73942,DNA Damage Reversal,reactome
2-Oxoglutaric Acid,R-HSA-73943,Reversal of alkylation damage by DNA dioxygenases,reactome
2-Oxoglutaric Acid,R-HSA-880009,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,reactome
2-Oxoglutaric Acid,R-HSA-888590,"GABA synthesis, release, reuptake and degradation",reactome
2-Oxoglutaric Acid,R-HSA-8963684,Tyrosine catabolism,reactome
2-Oxoglutaric Acid,R-HSA-8963691,Phenylalanine and tyrosine metabolism,reactome
2-Oxoglutaric Acid,R-HSA-8963693,Aspartate and asparagine metabolism,reactome
2-Oxoglutaric Acid,R-HSA-8964539,Glutamate and glutamine metabolism,reactome
2-Oxoglutaric Acid,R-HSA-8964540,Alanine metabolism,reactome
2-Oxoglutaric Acid,R-HSA-8978934,Metabolism of cofactors,reactome
2-Oxoglutaric Acid,R-HSA-916853,Degradation of GABA,reactome
2-Oxoglutaric Acid,R-HSA-9629569,Protein hydroxylation,reactome
2-Oxoglutaric Acid,R-HSA-977347,Serine biosynthesis,reactome
2-Oxoglutaric Acid,R-HSA-9816359,Maternal to zygotic transition (MZT),reactome
2-Oxoglutaric Acid,R-HSA-9821002,Chromatin modifications during the maternal to zygotic transition (MZT),reactome
2-Oxoglutaric Acid,WP106,Alanine and aspartate metabolism,wiki
2-Oxoglutaric Acid,WP1804,DNA Damage Reversal,wiki
2-Oxoglutaric Acid,WP1878,Peroxisomal lipid metabolism,wiki
2-Oxoglutaric Acid,WP2453,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc),wiki
2-Oxoglutaric Acid,WP2654,Mitotic Prophase,wiki
2-Oxoglutaric Acid,WP2685,"GABA synthesis, release, reuptake and degradation",wiki
2-Oxoglutaric Acid,WP2725,Collagen biosynthesis and modifying enzymes,wiki
2-Oxoglutaric Acid,WP2727,Cellular response to hypoxia,wiki
2-Oxoglutaric Acid,WP2766,Citric acid cycle and respiratory electron transport,wiki
2-Oxoglutaric Acid,WP3372,"TET1,2,3 and TDG demethylate DNA",wiki
2-Oxoglutaric Acid,WP3397,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,wiki
2-Oxoglutaric Acid,WP3404,Oxidative Stress Induced Senescence,wiki
2-Oxoglutaric Acid,WP3486,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,wiki
2-Oxoglutaric Acid,WP3553,Synthesis of wybutosine at G37 of tRNA(Phe),wiki
2-Oxoglutaric Acid,WP3556,Branched-chain amino acid catabolism,wiki
2-Oxoglutaric Acid,WP3574,Sulfur amino acid metabolism,wiki
2-Oxoglutaric Acid,WP3580,Methionine de novo and salvage pathway,wiki
2-Oxoglutaric Acid,WP3585,Cytosine methylation,wiki
2-Oxoglutaric Acid,WP3602,Metabolism overview,wiki
2-Oxoglutaric Acid,WP4093,Glucose metabolism,wiki
2-Oxoglutaric Acid,WP4157,GABA metabolism (aka GHB),wiki
2-Oxoglutaric Acid,WP4206,Hereditary leiomyomatosis and renal cell carcinoma pathway,wiki
2-Oxoglutaric Acid,WP4236,Krebs cycle disorders,wiki
2-Oxoglutaric Acid,WP4290,Metabolic reprogramming in colon cancer,wiki
2-Oxoglutaric Acid,WP4297,Thiamine metabolic pathways,wiki
2-Oxoglutaric Acid,WP4435,Serine biosynthesis,wiki
2-Oxoglutaric Acid,WP4504,Cysteine and methionine catabolism,wiki
2-Oxoglutaric Acid,WP4519,"Cerebral organic acidurias, including diseases",wiki
2-Oxoglutaric Acid,WP4595,Urea cycle and associated pathways,wiki
2-Oxoglutaric Acid,WP4661,Amino acid metabolism pathway excerpt: histidine catabolism extension,wiki
2-Oxoglutaric Acid,WP4688,Serine metabolism,wiki
