Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Pyrrole-2-Carboxylic Acid,8.805732861066355,15.919690361591458,1.3819959030403257,0.1943910817377284,0.7199669693989941,-4.519249429439136,Amide-Neg-000142,Organoheterocyclic compounds,Pyrroles,Higher in Males,
Beta-Alanine,-10.668159092050917,16.777797043403623,-1.4375040081650152,0.17420641879123375,0.6934381747866885,-4.520512569832067,Amide-Pos-000026,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
2-Oxoadipic Acid,5.7098467057224624,24.06493628046783,1.5392388364897795,0.13800620011294773,0.6726368013824302,-4.524426127571895,Amide-Neg-000587,Organic acids and derivatives,Keto acids and derivatives,Higher in Males,
Pe(15:0_27:7),-11.56154731889522,17.094115746203638,-1.5171655184549933,0.1465911401578709,0.6756179033280552,-4.525027749940074,C8-Pos-004870,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
(R)-Butyrylcarnitine,-6.637998868184535,18.76243535771648,-1.5375042323440957,0.13842879948598838,0.6726368013824302,-4.526495706579381,Amide-Pos-000872,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
Palmitic Acid,-2.1556074296614187,16.29288061675393,-1.5317361886611218,0.13984173108805256,0.6726368013824302,-4.533364680459928,C8-Pos-000342,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
Ps(15:0_25:3),6.057743537463453,18.741832806743627,1.5279167792110333,0.14078384130254848,0.6726368013824302,-4.537902107096737,C8-Neg-003418,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Tg(18:1_3:0_4:0cooh),5.36446751165917,22.68448378474333,1.5274918982971728,0.14088896579854374,0.6726368013824302,-4.538406320327739,C8-Pos-002397,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
L-Hydroxyproline,-4.861375239929953,18.656947824296065,-1.5114073596264062,0.14558716587170165,0.6756179033280552,-4.553852310998759,Amide-Pos-000349,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
"N,N-Dimethyl-Beta-Alanine Hcl",5.010549308801761,16.251940202582993,1.501959241294009,0.14732560221231925,0.6756179033280552,-4.568506254433477,Amide-Pos-000235,Organic nitrogen compounds,Organonitrogen compounds,Higher in Males,
