Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
C8-Pos-000787,1-Linoleoyl Glycerol,Lipids and lipid-like molecules,Fatty Acyls,64,4
C8-Pos-002985,Pc(11:2cho_11:2),Lipids and lipid-like molecules,Glycerophospholipids,63,6
C18-Pos-001951,Gln-Gly-Ile,Organic acids and derivatives,Carboxylic acids and derivatives,61,5
Amide-Pos-000561,Acetyl-Β-Methylcholine,Organic nitrogen compounds,Organonitrogen compounds,60,4
C8-Pos-005761,Pc(22:3cho_28:6),Lipids and lipid-like molecules,Glycerophospholipids,60,5
C8-Pos-000407,Glycerol Monomyristate,Lipids and lipid-like molecules,Glycerolipids,59,3
C18-Neg-000218,Meglutol,Lipids and lipid-like molecules,Fatty Acyls,58,4
Amide-Neg-000051,Dl-Lactic Acid,Organic acids and derivatives,Hydroxy acids and derivatives,56,3
Amide-Neg-000479,4-(Acetylamino)Butanoic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,56,2
Amide-Pos-000363,Leucine,Organic acids and derivatives,Carboxylic acids and derivatives,54,6
Amide-Neg-000851,Α-Cyano-3-Hydroxycinnamic Acid,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,51,4
C18-Pos-001025,D-Panthenol,Organic oxygen compounds,Organooxygen compounds,51,6
C8-Pos-005214,Pc(14:1_28:3),Lipids and lipid-like molecules,Glycerophospholipids,50,5
Amide-Neg-000605,D-(+)-Glucose,Organic oxygen compounds,Organooxygen compounds,49,4
Amide-Neg-000753,N-Formyl-L-Methionine,Organic acids and derivatives,Carboxylic acids and derivatives,48,3
Amide-Pos-000715,N-Methyl-D-Glucamine,Organic oxygen compounds,Organooxygen compounds,47,2
C18-Pos-002221,Cocamidopropyl Betaine,Organic acids and derivatives,Carboxylic acids and derivatives,46,5
C8-Pos-000483,5'-S-Methyl-5'-Thioadenosine,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,45,2
C8-Pos-000506,D-Erythro-Sphinganine,Organic nitrogen compounds,Organonitrogen compounds,45,2
Amide-Neg-000307,Citraconic Acid,Lipids and lipid-like molecules,Fatty Acyls,44,6
C8-Pos-000832,1-Stearoylglycerol,Lipids and lipid-like molecules,Glycerolipids,44,2
C18-Pos-002454,Guanosine-5'-Monophosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,42,2
C8-Pos-000209,Ppg N4,Organic oxygen compounds,Organooxygen compounds,41,4
Amide-Pos-002257,1-Stearoyl-2-Oleoyl-Sn-Glycero-3-Phosphoethanolamine,Lipids and lipid-like molecules,Glycerophospholipids,39,1
C8-Pos-000033,"1,3-Diphenylacetone",Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",38,3
C8-Pos-000696,Octabenzone,Benzenoids,Benzene and substituted derivatives,38,5
