gene,loeuf,exp_lof,n_metabolites,is_hit,is_recurrent,mean_expr
ADORA2A-AS1,NA,NA,0,FALSE,FALSE,1.5823202546176367
ADORA2B,1.2855,20.764,0,FALSE,FALSE,1.8787424968226523
ADPGK,0.85055,42.416,0,FALSE,FALSE,4.653402968393117
ADPGK-AS1,NA,NA,0,FALSE,FALSE,0.6613086768382914
ADPRH,1.2928,28.801,0,FALSE,FALSE,0.4228171464418956
ADPRHL1,1.2583,44.065,0,FALSE,FALSE,1.8477331616809332
ADPRM,0.93875,27.163,0,FALSE,FALSE,3.1957365590713405
ADPRS,1.0881,32.089,0,FALSE,FALSE,3.9537247449706334
ADRA1A,1.4141,29.586,2,TRUE,FALSE,4.115210011090688
ADRA1B,1.4221,17.931,0,FALSE,FALSE,3.5068161443332673
