"Name","n_occurrences","compound_ids","is_duplicate"
"S-4-(2-Oxo-Butyl)Glutathione",3,"Amide-Pos-001532; C18-Pos-002636; C18-Pos-002638",TRUE
"S-Adenosyl-L-Homocysteine",3,"Amide-Pos-001546; C18-Pos-000924; C18-Pos-000925",TRUE
"Sucrose",3,"C18-Neg-001505; C18-Pos-002025; C18-Pos-002479",TRUE
"Triphenyl Phosphate",3,"C18-Pos-002056; C8-Pos-000692; C8-Pos-000693",TRUE
"Tris(2-Butoxyethyl) Phosphate",3,"Amide-Pos-001587; Amide-Pos-001589; C8-Pos-001323",TRUE
"Uracil",3,"Amide-Pos-000180; C18-Pos-000187; C18-Pos-000190",TRUE
"(R)-Butyrylcarnitine",2,"Amide-Pos-000872; C18-Pos-001205",TRUE
"(Rac)-Idroxioleic Acid",2,"C8-Neg-000383; C8-Neg-000385",TRUE
"(±)12-Hete",2,"C8-Pos-000511; C8-Pos-000513",TRUE
"(±)14(15)-Eet",2,"C8-Neg-000488; C8-Pos-000512",TRUE
"(±)5-Hepe",2,"C8-Pos-000501; C8-Pos-000504",TRUE
"1,3-Benzodioxolylbutanamine (Bdb)",2,"C18-Pos-000931; C18-Pos-000934",TRUE
"1,8-Diaza-2,9-Diketocyclotetradecane",2,"Amide-Pos-000852; Amide-Pos-000853",TRUE
"1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",2,"C18-Pos-004978; C18-Pos-004979",TRUE
"1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine",2,"C18-Pos-003617; C18-Pos-003618",TRUE
"1-Linoleoyl Glycerol",2,"C8-Pos-000787; C8-Pos-000790",TRUE
"1-Methylhistidine",2,"Amide-Pos-000599; Amide-Pos-000606",TRUE
"1-Octadecanoyl-Sn-Glycero-3-Phosphoserine",2,"Amide-Neg-002166; C18-Neg-002219",TRUE
"1-Palmitoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine",2,"Amide-Pos-001731; C18-Neg-002016",TRUE
"1-Stearoylglycerol",2,"C8-Pos-000832; C8-Pos-000833",TRUE
"1-Β-D-Arabinofuranosyluracil 5'-Monophosphate",2,"C18-Neg-001402; C18-Neg-001407",TRUE
"11-Hydroxy-Δ(9)-Thc",2,"C8-Pos-000731; C8-Pos-000732",TRUE
"13-((1-Carboxy-2-Hydroxyethyl)Amino)-13-Oxotridecanoic Acid",2,"C8-Pos-000606; C8-Pos-000754",TRUE
"16-Deoxyvertaline B",2,"C8-Pos-001479; C8-Pos-001480",TRUE
"16-Hydroxyhexadecanoic Acid",2,"Amide-Neg-001504; C8-Neg-000245",TRUE
"2(2-Ethoxyethoxy)Ethanol",2,"C18-Pos-000658; C18-Pos-000671",TRUE
"2,3,5,6-Tetrafluoro-4-Hydroxybenzoic Acid",2,"Amide-Neg-001016; Amide-Neg-001020",TRUE
"2,6-Dimethylmorpholine",2,"Amide-Pos-000080; Amide-Pos-000232",TRUE
"2-Acetamido-N-Β-Aspartyl-2-Deoxyhexopyranosylamine",2,"Amide-Neg-001864; Amide-Pos-001270",TRUE
"2-Aminoisobutyric Acid",2,"Amide-Pos-000144; Amide-Pos-000149",TRUE
"2-Arachidonoyl Glycerol",2,"C8-Pos-001010; C8-Pos-001012",TRUE
"2-Deoxyribose 5-Phosphate",2,"Amide-Neg-001061; Amide-Neg-001062",TRUE
"2-Docosahexaenoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoethanolamine",2,"Amide-Pos-002285; C8-Pos-004152",TRUE
"2-Furoic Acid",2,"Amide-Neg-000149; Amide-Neg-000150",TRUE
"2-Hydroxy-6-[(Z)-Nonadec-8-Enyl]Benzoic Acid",2,"C8-Pos-001203; C8-Pos-001204",TRUE
"2-Methyl-2,3,4,5-Tetrahydro-1,5-Benzoxazepin-4-One",2,"Amide-Pos-000725; Amide-Pos-000726",TRUE
"2-Methylcitrate",2,"Amide-Neg-000985; Amide-Neg-000988",TRUE
"2-Methylsuccinic Acid",2,"Amide-Neg-000333; Amide-Neg-000334",TRUE
"2-Oxoadipic Acid",2,"Amide-Neg-000581; Amide-Neg-000587",TRUE
"2-Oxobutanoic Acid",2,"Amide-Neg-000108; C18-Neg-000004",TRUE
"3-Epi-25-Hydroxy Vitamin D3",2,"C8-Pos-001190; C8-Pos-001340",TRUE
"3-Hydroxy-3-Methylglutaric Acid",2,"Amide-Neg-000604; C18-Neg-000221",TRUE
"3-Hydroxybutyric Acid",2,"Amide-Neg-000118; Amide-Neg-000125",TRUE
"3-Hydroxystigmast-5-En-7-One",2,"C8-Pos-001621; C8-Pos-001626",TRUE
"3-Methylhistidine",2,"Amide-Pos-000601; Amide-Pos-000602",TRUE
"3-[(2-Chloro-1,3-Thiazol-5-Yl)Methyl]-5-Methyl-1,3,5-Oxadiazinan-4-Ylideneamin",2,"C18-Pos-001329; C18-Pos-001330",TRUE
"3-[(2-Hydroxyethyl)Amino]-1-Propanol",2,"Amide-Pos-000092; Amide-Pos-000260",TRUE
"4-Methoxychalcone",2,"C8-Pos-000082; C8-Pos-000155",TRUE
"4-Morpholinepropanesulfonic Acid",2,"Amide-Pos-000792; Amide-Pos-000793",TRUE
"4-Oxoproline",2,"C18-Neg-000045; C18-Neg-000051",TRUE
"4-Quinolinol",2,"Amide-Pos-000460; Amide-Pos-000461",TRUE
"5,5-Dimethyloxazolidine-2,4-Dione",2,"Amide-Neg-000292; Amide-Neg-000296",TRUE
"5-Methylcytosine",2,"Amide-Pos-000295; Amide-Pos-000296",TRUE
"6-Gingerol",2,"Amide-Neg-001642; C18-Neg-001096",TRUE
"7-Ethyl-8-Hydroxy-4,7-Dimethyl-6-Oxo-8h-Isochromene-3-Carboxylic Acid",2,"C8-Pos-000289; C8-Pos-000290",TRUE
"7-Methylguanine",2,"Amide-Pos-000582; Amide-Pos-000584",TRUE
"7-Methylguanosine",2,"Amide-Pos-001185; C18-Pos-001732",TRUE
"9(Z),11(E)-Octadecadienoic Acid",2,"C8-Pos-000278; C8-Pos-000280",TRUE
"Aa-4047",2,"C18-Neg-000580; C18-Neg-000581",TRUE
"Acrylic Acid",2,"Amide-Neg-000001; Amide-Neg-000002",TRUE
"Adenosine Triphosphate (Atp)",2,"Amide-Neg-001422; Amide-Neg-002157",TRUE
"Ala-Pro-Asn",2,"Amide-Neg-001578; C8-Neg-000301",TRUE
"Alfacalcidol",2,"C8-Pos-001187; C8-Pos-001188",TRUE
"Allopurinol",2,"Amide-Neg-000402; Amide-Neg-000408",TRUE
"Amifampridine",2,"Amide-Pos-000165; Amide-Pos-000167",TRUE
"Aminoadipic Acid",2,"C18-Pos-000699; C18-Pos-000701",TRUE
"Amp",2,"C8-Neg-000641; C8-Pos-000891",TRUE
"Arachidonoyl-Carnitine; Lc-Tdda; Ce10",2,"Amide-Pos-001723; C18-Pos-003527",TRUE
"Atp",2,"Amide-Pos-001838; Amide-Pos-001839",TRUE
"Azithromycin",2,"C18-Pos-002599; C8-Pos-004027",TRUE
"Benzenesulfonic Acid, Dodecyl(Sulfophenoxy)-",2,"Amide-Neg-001355; Amide-Neg-001358",TRUE
"Benzoylecgonine",2,"Amide-Pos-001164; C18-Pos-001671",TRUE
"Beta-Alanine",2,"Amide-Pos-000026; Amide-Pos-000027",TRUE
"Betaine",2,"C18-Pos-000240; C18-Pos-000247",TRUE
"Betulin",2,"C8-Pos-001572; C8-Pos-001574",TRUE
"Biotin",2,"C18-Neg-000748; C18-Pos-001159",TRUE
"Bis(2,2,6,6-Tetramethyl-4-Piperidyl)Sebacate",2,"C18-Pos-001292; C8-Pos-002057",TRUE
"Bis(2-Ethylhexyl) Adipate",2,"C8-Pos-001101; C8-Pos-001102",TRUE
"Bis(2-Ethylhexyl) Phthalate",2,"C8-Pos-001250; C8-Pos-001251",TRUE
"Bis(2-Ethylhexyl) Sebacate",2,"C8-Pos-001597; C8-Pos-001598",TRUE
"Bis(Methylbenzylidene)Sorbitol",2,"C8-Pos-001076; C8-Pos-001216",TRUE
"Bmp 22:5_22:5",2,"C8-Pos-005210; C8-Pos-005211",TRUE
"Calcitriol",2,"C8-Neg-001002; C8-Pos-001324",TRUE
"Chalcone",2,"C8-Pos-000022; C8-Pos-000023",TRUE
"Cholesterol",2,"C8-Pos-001084; C8-Pos-001085",TRUE
"Citraconic Acid",2,"Amide-Neg-000306; Amide-Neg-000307",TRUE
"Citrulline",2,"Amide-Neg-000723; Amide-Pos-000621",TRUE
"Cyclic Adp-Ribose",2,"C18-Pos-004616; C18-Pos-004919",TRUE
"Cyclohexylamine",2,"Amide-Pos-000085; Amide-Pos-000086",TRUE
"Cysteinylglycine",2,"Amide-Pos-000635; C18-Pos-000810",TRUE
"Cytarabine",2,"Amide-Pos-000937; Amide-Pos-000941",TRUE
"Cytidine 5'-Diphosphate",2,"Amide-Pos-001613; Amide-Pos-001621",TRUE
"Cytidine 5'-Diphosphate Ethanolamine",2,"Amide-Neg-002114; Amide-Pos-001718",TRUE
"Cytidine 5'-Triphosphate",2,"Amide-Pos-001769; Amide-Pos-001770",TRUE
"D-(+)-Arabitol",2,"Amide-Neg-000527; Amide-Neg-000528",TRUE
"D-(+)-Ribonic Acid Gamma-Lactone",2,"Amide-Neg-000499; Amide-Neg-000500",TRUE
"D-Alanine Methyl Ester",2,"Amide-Pos-000145; C18-Pos-000036",TRUE
"D-Arginine",2,"Amide-Pos-000618; Amide-Pos-000620",TRUE
"D-Fructose 1-Phosphate",2,"C18-Neg-000851; C18-Neg-000852",TRUE
"D-Fructose-1,6-Bisphosphate",2,"Amide-Neg-001873; Amide-Pos-001279",TRUE
"D-Gluconic Acid",2,"Amide-Neg-000918; Amide-Neg-000920",TRUE
"D-Glucosaminic Acid",2,"Amide-Pos-000627; Amide-Pos-000628",TRUE
