Name,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50
Label,F,F,M,F,M,F,M,M,F,F,M,F,M,F,F,M,F,M,F,F,M,M,M,M
Leucine,21195925.673593,28881802.4871186,19289593.2973677,37906645.834481,25742607.6502393,29220404.542723,28219971.4472712,15019083.3829901,42171745.3095808,25872754.1812351,24832797.8065616,10618977.6794845,22896771.3743985,19385831.0084975,25226643.5764185,19844171.0055388,19422631.8047683,27788189.4118114,28177387.4376141,24985338.8536081,26374829.5437013,34190461.5478382,32428275.3986845,16046786.9604008
Levoglucosan,10933271.3087268,NA,NA,NA,NA,26419053.4687591,38054293.3260323,11165519.8806333,10406553.6288161,7698203.57345315,NA,13454027.6279165,19637292.579955,15315614.5202561,NA,9706207.31551819,29196568.8976186,NA,NA,13096189.6081177,NA,21192310.0456186,24186246.4164806,NA
Lidocaine,NA,NA,30909.8483775764,19288479.5451475,104812.036137216,5451525.95618727,46464.5387270523,NA,NA,7625388.10613016,34338806.8232288,49826.267417392,30279.0947206875,20518.6434266517,30300.3254780722,NA,NA,NA,85776.1059041026,31606232.5885596,28002.8925120355,29512.8780654857,32459.7421652109,NA
Linoelaidic acid,4560768.20126605,17923356.0755634,5671472.93233498,8257641.14089388,10833107.2738401,7758137.56219416,6634150.71905335,4642816.17508582,7110613.20723754,4899435.92522174,4971159.57484957,5173014.88731025,7301289.69440216,2684210.60342652,5577419.58672328,3115467.05835271,6396531.20783699,4004470.07003922,6894961.4643183,6981573.83354425,7477165.40144036,2298222.39959286,6930500.09496953,4901647.99552089
Linoleoylcarnitine,2084372.08022348,7150012.21023792,4084378.36473091,2623314.66274161,4403375.06749867,15505544.7605627,4771007.49704261,11444140.7657066,3798536.37068875,NA,4077114.25771158,4486870.75751798,2263864.16139856,3887907.09590056,5942685.29392031,2080483.22891522,NA,3135896.78151161,6139258.55662719,NA,6209476.33323171,2044793.41479404,4150744.79757122,3237783.41485264
Lumichrome,303151.95775492,445220.886115045,233446.575220234,651294.166467554,342086.901907712,233063.989826181,178249.220293432,209990.938666878,354240.677430871,458390.332900374,313229.167662227,203149.385655241,280672.190467019,151328.223101363,136759.369721994,279232.671866477,163144.990254191,151612.159359854,192272.948875671,173691.579123856,202863.568779529,182592.148115222,155116.190981263,118637.670885868
Lupenone,246073.771286351,369329.622006682,285533.035503526,256547.713937734,205717.156734782,282135.855969822,204970.766569616,218506.898299235,219083.756478916,259525.928413304,225731.984772531,504132.261827146,408723.897974961,415733.278350441,197454.181623087,366096.428232115,284232.163015362,230942.765672523,583497.182803762,213260.84242539,347354.953595156,203523.948283627,254550.450757512,264374.934874002
Lupeol,NA,4218260.56277008,3073817.4815457,5759098.22042277,4110019.47323511,3381041.8936294,3472818.41888853,4553793.76121581,3844132.0602165,4574680.67315192,4536448.34324015,2942754.29806206,3785132.85228662,4050864.07657424,3665310.82520658,3761197.75859708,4084003.19960301,3881324.19242664,1511391.00867583,4019058.42406292,3706569.27696657,4355152.38169303,4259297.03227518,4015664.7175472
LysoPE(18:0/0:0),591908.767293271,804820.581941166,190581.424939408,704921.01373088,642372.632033414,171128.884627047,303552.874673858,171106.081262257,573930.244793324,202398.944279095,343130.464249088,141490.352856163,263214.65741356,119778.668437858,170175.334475015,227274.618813602,482602.753425024,485974.929977441,2178241.18934519,353163.685220971,354757.288493046,306744.783363261,601182.887879226,379794.006756379
Maleic acid,5844245.22445583,6816929.74320799,3098492.83348087,7792614.37309025,6661453.27930639,6557167.25236048,7617002.33933142,2533509.5337937,6626611.55472583,3917319.67668353,2399601.09594733,1180982.70948923,3040256.1546763,3516141.8533896,4037705.59470737,3516789.41033505,5197331.99877208,6083497.74350342,7753060.1516496,2907223.49574288,4335057.45791484,7745563.58823537,8163085.42095453,5932282.59825255
